time_s,log_time_s,sample_time_us,log_time_us,state,lagged,pressure_pa,temperature_c,baro_altitude_rel_m,smooth_altitude_m,dalt_dt_mps,dalt_dt_z,alignment_weight
72.991829,73.002943,1195152867,1195163981,fresh,False,79940,24.7,1612.0714911474386,1607.202932548454,-37.25036085642205,-1.0493057041203402,1.2993057041203402
73.019236,73.024414,1195180274,1195185452,fresh,False,79987,24.7,1607.2932526025163,1606.0498661650142,-45.14608198294445,-1.4219633711547337,1.6719633711547337
73.040691,73.045871,1195201729,1195206909,fresh,False,79971,24.69,1608.9196317117687,1605.0296253588065,-46.578148195840186,-1.4895532018218602,1.7395532018218602
73.063973,73.067362,1195225011,1195228400,fresh,False,80019,24.7,1604.0412844855384,1603.9698117591995,-50.00357691330282,-1.6512246000370692,1.9012246000370692
73.085502,73.088802,1195246540,1195249840,fresh,False,80027,24.69,1603.2284569912883,1602.804040245881,-56.650910317883245,-1.9649615873059931,2.214961587305993
73.10693,73.110285,1195267968,1195271323,fresh,False,80042,24.69,1601.7045827553143,1601.5367628266897,-60.794199622068845,-2.160514153209041,2.410514153209041
73.127457,73.131745,1195288495,1195292783,fresh,False,80046,24.68,1601.2982553453007,1600.2563356997232,-65.48351087838819,-2.3818375465730823,2.6318375465730823
73.148361,73.153229,1195309399,1195314267,fresh,False,80076,24.69,1598.2513237079015,1598.821352204374,-65.42225797913852,-2.378946567754593,2.628946567754593
73.169303,73.174693,1195330341,1195335731,fresh,False,80085,24.68,1597.3374244544893,1597.5189211467446,-58.37357473269367,-2.046266903390424,2.296266903390424
73.192808,73.196159,1195353846,1195357197,fresh,False,80076,24.69,1598.2513237079015,1596.2475945271449,-59.45906588876824,-2.0974992855031114,2.3474992855031114
73.214339,73.217644,1195375377,1195378682,fresh,False,80112,24.68,1594.596225566225,1594.8614391063322,-62.81929763031076,-2.2560935546562924,2.5060935546562924
73.23485,73.239092,1195395888,1195400130,fresh,False,80120,24.68,1593.7841621485877,1593.603438156331,-62.81762766669999,-2.2560147366821965,2.5060147366821965
73.255511,73.260552,1195416549,1195421590,fresh,False,80146,24.69,1591.1454093892944,1592.2746647200163,-59.0700919439405,-2.0791407188194735,2.3291407188194735
73.276811,73.281991,1195437849,1195443029,fresh,False,80159,24.69,1589.8262929260927,1591.1316022395158,-55.8164849816967,-1.925578864168376,2.1755788641683758
73.298349,73.303452,1195459387,1195464490,fresh,False,80180,24.68,1587.6957783564767,1589.8825682626002,-51.69666941124888,-1.7311341979379646,1.9811341979379646
73.3213,73.324896,1195482338,1195485934,fresh,False,80194,24.69,1586.2756863072864,1588.8500436035117,-45.94876778001344,-1.4598480699307048,1.7098480699307048
73.343143,73.34635,1195504181,1195507388,fresh,False,80210,24.7,1584.6529697458654,1587.8264163501533,-46.76491482886922,-1.498368105062386,1.748368105062386
73.36375,73.367828,1195524788,1195528866,fresh,False,80219,24.69,1583.7403068558913,1586.8646375006267,-46.587090456734586,-1.4899752534659751,1.7399752534659751
73.384337,73.389283,1195545375,1195550321,fresh,False,80235,24.7,1582.1179997453905,1585.9073043337894,-43.03800038785266,-1.3224673584971722,1.5724673584971722
73.405573,73.410752,1195566611,1195571790,fresh,False,80227,24.7,1582.929120553807,1585.0692261292056,-37.11939190148769,-1.04312430733369,1.29312430733369
73.429081,73.432218,1195590119,1195593256,fresh,False,80239,24.7,1581.7124638976209,1584.257662748525,-36.87096952494903,-1.0313994120649017,1.2813994120649017
73.450454,73.453705,1195611492,1195614743,fresh,False,80248,24.7,1580.800068086996,1583.4239912749292,-38.163078385201516,-1.0923836167626477,1.3423836167626477
73.471116,73.475167,1195632154,1195636205,fresh,False,80244,24.69,1581.205567106618,1582.6522992974067,-34.880851115427504,-0.937470957433534,1.187470957433534
73.491797,73.496626,1195652835,1195657664,fresh,False,80241,24.7,1581.5097021121978,1581.9820060560135,-29.167356619953352,-0.6678087574673831,0.9178087574673831
73.512948,73.518125,1195673986,1195679163,fresh,False,80246,24.7,1581.0028155510058,1581.4352541684675,-23.520993161320803,-0.40131496924907845,0.6513149692490785
73.534413,73.539591,1195695451,1195700629,fresh,False,80254,24.69,1580.1918502427159,1580.9811088407344,-18.60270648563528,-0.1691845268236675,0.41918452682366747
73.557828,73.561059,1195718866,1195722097,fresh,False,80253,24.71,1580.2932173265046,1580.610780896991,-12.872346410560567,0.10127368498819261,0.3512736849881926
73.603894,73.614906,1195764932,1195775944,fresh,False,80259,24.7,1579.6850301640432,1580.284569250775,-8.261043743790651,0.31891527417953025,0.5689152741795303
73.633239,73.636415,1195794277,1195797453,fresh,False,80260,24.71,1579.5836692161988,1580.0200973477258,-10.815731522430724,0.19834060185588945,0.4483406018558894
73.654672,73.657915,1195815710,1195818953,fresh,False,80263,24.72,1579.2795925080486,1579.760055614576,-9.555186345794937,0.25783508211794093,0.5078350821179409
73.675194,73.679396,1195836232,1195840434,fresh,False,80266,24.7,1578.9755250024689,1579.6146129493118,-9.8993060312132,0.24159352075911655,0.49159352075911655
73.695945,73.700875,1195856983,1195861913,fresh,False,80269,24.71,1578.6714666988446,1579.3501864071118,-12.775503308701445,0.1058444295508352,0.3558444295508352
73.717274,73.722358,1195878312,1195883396,fresh,False,80265,24.71,1579.076879815196,1579.0769814780494,-6.319425176669029,0.41055466137416013,0.6605546613741602
73.738719,73.743813,1195899757,1195904851,fresh,False,80287,24.7,1576.8473100832032,1579.0813890093784,-2.220419603956543,0.6040171493990883,0.8540171493990883
73.76221,73.765313,1195923248,1195926351,fresh,False,80272,24.72,1578.367417596546,1578.966804177601,-9.38522823152016,0.26585666663749186,0.5158566666374919
73.783479,73.786767,1195944517,1195947805,fresh,False,80270,24.72,1578.5701159757368,1578.680389766109,-8.033926146978047,0.3296346388093599,0.5796346388093598
73.804005,73.808251,1195965043,1195969289,fresh,False,80262,24.73,1579.3809503882285,1578.6230947492845,-4.491075305115373,0.49684805835940954,0.7468480583594095
73.824622,73.829703,1195985660,1195990741,fresh,False,80264,24.72,1579.1782356503793,1578.4953034170157,-6.592209952104895,0.39767992372987304,0.647679923729873
73.846022,73.851209,1196007060,1196012247,fresh,False,80268,24.72,1578.7728184443156,1578.3454813629592,-4.325526441112743,0.5046615376415212,0.7546615376415212
73.867476,73.872675,1196028514,1196033713,fresh,False,80270,24.72,1578.5701159757368,1578.310226625922,-2.2153231534139195,0.604257688716389,0.854257688716389
73.890778,73.894163,1196051816,1196055201,fresh,False,80278,24.71,1577.7593469934436,1578.2441269945637,-4.569137672602665,0.49316371600678033,0.7431637160067803
73.912224,73.915647,1196073262,1196076685,fresh,False,80268,24.73,1578.7728184443156,1578.1119417318394,-6.674019168356608,0.3938187397820424,0.6438187397820424
73.933687,73.937111,1196094725,1196098149,fresh,False,80287,24.71,1576.8473100832032,1577.9577341460442,-2.962269095085503,0.5690037673121588,0.8190037673121588
73.954203,73.958598,1196115241,1196119636,fresh,False,80301,24.73,1575.4287505291938,1577.97976757872,-1.2576207747260923,0.6494587702181475,0.8994587702181475
73.974933,73.980043,1196135971,1196141081,fresh,False,80247,24.73,1580.901441307561,1577.9048591969693,-1.7251672290221904,0.6273917837964871,0.8773917837964871
73.996151,74.001528,1196157189,1196162566,fresh,False,80270,24.73,1578.5701159757368,1577.9092649946365,3.2088676883540757,0.8602655026008792,1.1102655026008792
74.019725,74.022991,1196180763,1196184029,fresh,False,80306,24.73,1574.922170647881,1578.06351769806,4.405861291161273,0.9167605125346571,1.166760512534657
74.041363,74.044679,1196202401,1196205717,fresh,False,80259,24.72,1579.6850301640432,1578.1163992701793,0.5129579659260344,0.7330255188683403,0.9830255188683403
74.06305,74.066207,1196224088,1196227245,fresh,False,80283,24.74,1577.2526496005366,1578.0855521532496,2.396941663828329,0.8219446889277728,1.0719446889277728
74.083577,74.087643,1196244615,1196248681,fresh,False,80287,24.74,1576.8473100832032,1578.208959918397,6.846749504904437,1.031964138986179,1.281964138986179
74.10422,74.10913,1196265258,1196270168,fresh,False,80267,24.74,1578.8741712121837,1578.367627045786,2.0502047760237474,0.8055796023684235,1.0555796023684234
74.125427,74.130608,1196286465,1196291646,fresh,False,80275,24.73,1578.0633776949521,1578.2883166885285,-3.575280172528437,0.5400712259615325,0.7900712259615325
74.148793,74.152073,1196309831,1196313111,fresh,False,80293,24.74,1576.23933146539,1578.2090127301753,-6.114273692757706,0.42023728214533085,0.6702372821453308
74.170272,74.173535,1196331310,1196334573,fresh,False,80301,24.74,1575.4287505291938,1578.023973890435,-4.803567677066894,0.48209922460104343,0.7320992246010434
74.191493,74.194971,1196352531,1196356009,fresh,False,80264,24.73,1579.1782356503793,1578.001945568572,-7.675582813717483,0.3465475196508121,0.5965475196508121
74.212083,74.216441,1196373121,1196377479,fresh,False,80282,24.74,1577.3539870349346,1577.7113021345274,-17.325038148846943,-0.10888187757838393,0.3588818775783839
74.232678,74.237887,1196393716,1196398925,fresh,False,80286,24.75,1576.948643429547,1577.2883817757022,-22.661182998665026,-0.36073414779231966,0.6107341477923196
74.254264,74.259351,1196415302,1196420389,fresh,False,80237,24.74,1581.915229775291,1576.7511154922897,-20.39677068176752,-0.25385972838249476,0.5038597283824948
74.292472,74.30244,1196453510,1196463478,fresh,False,80258,24.75,1579.786392134482,1576.2756417116639,-20.23805767068552,-0.24636888372244886,0.49636888372244886
74.319492,74.323932,1196480530,1196484970,fresh,False,80269,24.75,1578.6714666988446,1575.5798868602426,-31.189603826234816,-0.7632536084168731,1.013253608416873
74.340275,74.345412,1196501313,1196506450,fresh,False,80236,24.74,1582.016614248773,1574.8447115505853,-34.971185010777845,-0.9417344842420364,1.1917344842420365
74.361676,74.366899,1196522714,1196527937,fresh,False,80232,24.74,1582.4221623742587,1574.1051675206634,-37.134988090714614,-1.0438604072286586,1.2938604072286586
74.383279,74.388353,1196544317,1196549391,fresh,False,80288,24.75,1576.7459777588135,1573.2467119043783,-45.41049476066473,-1.4344429721057266,1.6844429721057266
74.406514,74.409835,1196567552,1196570873,fresh,False,80296,24.74,1575.9353559513206,1572.049836684849,-52.861965606032754,-1.7861331719890505,2.0361331719890505
