time_s,unix_time_s,utc_time,gps_altitude_asl_m,gps_altitude_agl_m,latitude_deg,longitude_deg,satellite_count,fix_type,horizontal_speed_mps,vertical_speed_mps,course_heading_deg,battery_v,distance_ft,distance_m,flags,rssi_dbm,count_gt_40,count_gt_32,count_gt_24,smooth_altitude_m,dalt_dt_mps,dalt_dt_z,alignment_weight
6.299999952316284,1774896436.7,Mar 30 2026 13:47:16.700 UTC,964.0824,548.9448,33.49708,-99.33274,13,3,121.6152,304.4952,132,4.048,630.905,192.299844,1,-51,1,11,0,549.194736,305.0132895328006,2.937484191567413,3.187484191567413
6.3999998569488525,1774896436.8,Mar 30 2026 13:47:16.800 UTC,994.6843200000001,579.54672,33.49701,-99.33264,16,3,122.2248,306.0192,131,4.048,671.0412,204.53335776,1,-51,0,11,4,579.79056,305.59240801399983,2.943747469128755,3.193747469128755
6.5,1774896436.9,Mar 30 2026 13:47:16.900 UTC,1025.7434400000002,610.6058400000001,33.49693,-99.33254,16,3,121.92,310.5912,131,4.048,711.1806,216.76784688,1,-51,0,6,9,610.313232,304.4036854632818,2.9308912065153496,3.1808912065153496
6.599999904632568,1774896437.0,Mar 30 2026 13:47:17.000 UTC,1056.40632,641.26872,33.49686,-99.33244,16,3,121.92,307.5432,131,4.048,752.2072,229.27275455999998,1,-51,1,6,8,640.6713120000001,301.81324783154287,2.9028751261800614,3.1528751261800614
6.699999809265137,1774896437.1,Mar 30 2026 13:47:17.100 UTC,1086.33768,671.20008,33.49678,-99.33234,15,3,120.396,300.228,131,4.048,792.3534,241.50931632,1,-51,2,6,6,670.675824,297.66761469961375,2.858039307922283,3.108039307922283
6.799999952316284,1774896437.2,Mar 30 2026 13:47:17.200 UTC,1115.8728,700.7352000000001,33.49671,-99.33224,16,3,120.396,296.5704,132,4.048,832.5014,253.74642672000002,1,-49,1,9,5,700.2048480000001,292.8822444313364,2.8062846097093184,3.0562846097093184
6.8999998569488525,1774896437.3,Mar 30 2026 13:47:17.300 UTC,1144.70688,729.56928,33.49664,-99.33215,14,3,119.4816,290.4744,132,4.048,871.7563,265.71132024,1,-49,3,8,2,729.252288,288.55409578237095,2.759474851092939,3.009474851092939
7.0,1774896437.4,Mar 30 2026 13:47:17.400 UTC,1173.38856,758.25096,33.49656,-99.33205,15,3,116.73840000000001,286.8168,132,4.048,911.9101,277.95019848000004,1,-49,1,11,2,757.9156800000002,284.8355278031995,2.7192578244561076,2.9692578244561076
7.099999904632568,1774896437.5,Mar 30 2026 13:47:17.500 UTC,1201.64352,786.5059200000001,33.49649,-99.33196,17,3,116.73840000000001,283.7688,131,4.051,949.3892,289.37382816,1,-49,0,6,8,786.219408,281.39162835596835,2.6820113907268723,2.9320113907268723
7.199999809265137,1774896437.6,Mar 30 2026 13:47:17.600 UTC,1229.6546400000002,814.5170400000001,33.49643,-99.33187,15,3,115.82400000000001,280.416,131,4.051,986.8701,300.79800648,1,-49,0,3,10,814.1939520000001,278.1299375409553,2.6467355783380087,2.8967355783380087
