time_s,featherweight_source_time_s,marv_source_time_s,featherweight_navigation_unix_time_s,featherweight_navigation_gps_altitude_asl_m,featherweight_navigation_gps_altitude_agl_m,featherweight_navigation_latitude_deg,featherweight_navigation_longitude_deg,featherweight_navigation_satellite_count,featherweight_navigation_fix_type,featherweight_navigation_horizontal_speed_mps,featherweight_navigation_vertical_speed_mps,featherweight_navigation_course_heading_deg,featherweight_navigation_battery_v,featherweight_navigation_distance_ft,featherweight_navigation_distance_m,featherweight_navigation_flags,featherweight_navigation_rssi_dbm,featherweight_navigation_count_gt_40,featherweight_navigation_count_gt_32,featherweight_navigation_count_gt_24,featherweight_events_launch_detected,featherweight_events_apogee_detected,featherweight_events_landing_detected,marv_baro_log_time_s,marv_baro_sample_time_us,marv_baro_log_time_us,marv_baro_lagged,marv_baro_pressure_pa,marv_baro_temperature_c,marv_primary_imu_log_time_s,marv_primary_imu_sample_time_us,marv_primary_imu_log_time_us,marv_primary_imu_lagged,marv_primary_imu_accelerometer_x_mps2,marv_primary_imu_accelerometer_y_mps2,marv_primary_imu_accelerometer_z_mps2,marv_primary_imu_gyroscope_x_rad_s,marv_primary_imu_gyroscope_y_rad_s,marv_primary_imu_gyroscope_z_rad_s,marv_aux_imu_log_time_s,marv_aux_imu_sample_time_us,marv_aux_imu_log_time_us,marv_aux_imu_lagged,marv_aux_imu_accelerometer_x_mps2,marv_aux_imu_accelerometer_y_mps2,marv_aux_imu_accelerometer_z_mps2,marv_aux_imu_gyroscope_x_rad_s,marv_aux_imu_gyroscope_y_rad_s,marv_aux_imu_gyroscope_z_rad_s
34.144668,36.30966780926514,34.144668,1774896466.709668,3214.7327575089257,2799.5951575089257,33.48535451660477,-99.31579612988858,28.0,3.0,10.412372890671966,-29.949040663992054,123.1613283814697,4.049,7336.991973140105,2236.3151534131043,True,-67.25800742779545,1.2903320953674253,16.258007427795448,7.451660476837127,True,True,False,34.14792294397213,1156305706.0,1156308960.943972,False,69637.507456446,24.45623135888502,34.145267,1156305706.0,1156306305.0,False,-2.5899615,-6.121074,10.649016,0.429947,1.1238219,2.3029833,34.1454603189647,1156305706.0,1156306498.3189647,False,-2.4109870550305588,-5.603756786305634,11.0061822982584,0.32389852875106584,1.048552174945884,2.2953021631999984
34.1549,36.31989980926514,34.1549,1774896466.7199,3214.4371034596456,2799.2995034596456,33.48535400500477,-99.31579520900858,28.0,3.0,10.399898036271972,-29.967752945592043,123.12040038146972,4.049,7337.357349674505,2236.4265201807893,True,-67.31939942779542,1.2801000953674304,16.319399427795418,7.400500476837152,True,True,False,34.158239486887005,1156315938.0,1156319277.486887,False,69635.89665594228,24.46,34.156021,1156315938.0,1156317059.0,False,-2.3492854,-3.4718416,6.464127,0.38524953,1.0173993,2.1284504,34.15581654748235,1156315938.0,1156316854.5474823,False,-2.1022085999153433,-3.0275313071533536,6.604938297130117,0.39684405053551775,1.0650238170729387,2.277654009600003
34.165992,36.33099180926514,34.165992,1774896466.7309918,3214.1165996759655,2798.9789996759655,33.48535345040477,-99.31579421072858,28.0,3.0,10.386374669871966,-29.98803799519205,123.0760323814697,4.049,7337.7534361209055,2236.5472473296522,True,-67.38595142779545,1.2690080953674254,16.385951427795447,7.345040476837127,True,True,False,34.169846777712785,1156327030.0,1156330884.7777128,False,69635.35595203275,24.46,34.166772,1156327030.0,1156327810.0,False,-3.0300035,-2.8881123,6.020493,0.5342411,0.9982433,2.4434612,34.16657716175278,1156327030.0,1156327615.1617527,False,-2.7445630570464323,-2.3000275210980017,6.353586533134929,0.4594631997241175,1.0737460137949713,2.2725072643224222
34.176803,36.34180280926514,34.176803,1774896466.741803,3213.8042153985257,2798.6666153985257,33.48535290985477,-99.31579323773859,28.0,3.0,10.37319389867197,-30.00780915199205,123.03278838146971,4.049,7338.139488282105,2236.664916028386,True,-67.45081742779543,1.2581970953674286,16.450817427795428,7.290985476837143,True,True,False,34.18111876980914,1156337841.0,1156342156.7698092,False,69634.15437632543,24.46,34.177488,1156337841.0,1156338526.0,False,-3.4933946,-3.4556768,6.679658,0.5193419,1.0365554,2.4775164,34.1776760572955,1156337841.0,1156338714.0572956,False,-3.4083844940493546,-2.8106206117908683,6.935980077560675,0.5142173089903994,1.077609064001473,2.276319207258654
34.187664,36.35266380926514,34.187664,1774896466.7526639,3213.4903863690856,2798.3527863690856,33.48535236680477,-99.31579226024859,28.0,3.0,10.359952167471972,-30.027671748792045,122.98934438146972,4.049,7338.527325903305,2236.7831289353276,True,-67.51598342779542,1.2473360953674302,16.51598342779542,7.236680476837151,True,True,False,34.1923566697513,1156348702.0,1156353394.6697514,False,69631.53701561596,24.46,34.188233,1156348702.0,1156349271.0,False,-3.656839,-2.8306375,7.0873704,0.57468164,1.0684822,2.377479,34.18843065431515,1156348702.0,1156349468.6543152,False,-3.4678947367142126,-2.3431580785992314,7.305232193685478,0.5765385129085809,1.0800547422535207,2.28981575621514
34.197847,36.36284680926514,34.197847,1774896466.762847,3213.1961481767657,2798.0585481767657,33.48535185765477,-99.31579134377859,28.0,3.0,10.347537053871966,-30.046294419192055,122.9486123814697,4.049,7338.890952686906,2236.893962378969,True,-67.57708142779545,1.2371530953674252,16.57708142779545,7.185765476837126,True,True,False,34.202827681665326,1156358885.0,1156363865.6816654,False,69631.08132430256,24.46,34.198956,1156358885.0,1156359994.0,False,-3.9657662,-2.1948218,7.8686695,0.6576912,1.076996,2.3327818,34.19875226401362,1156358885.0,1156359790.2640135,False,-3.629122265233056,-1.7489188574438184,7.927110284970406,0.6341624340788524,1.0824068718309867,2.3051036359013186
34.208947,36.37394680926514,34.208947,1774896466.773947,3212.875413232766,2797.737813232766,33.48535130265477,-99.31579034477858,28.0,3.0,10.334003933871967,-30.066594099192052,122.9042123814697,4.049,7339.287324806905,2237.014776601145,True,-67.64368142779544,1.2260530953674262,16.643681427795443,7.130265476837131,True,True,False,34.214122206365744,1156369985.0,1156375160.2063658,False,69634.235778904,24.46,34.20972,1156369985.0,1156370758.0,False,-3.7232943,-1.2680395,6.956256,0.76198524,1.072739,2.2667997,34.209525084324326,1156369985.0,1156370563.0843244,False,-3.496034110243206,-0.7128102586213425,6.95729732610784,0.6928809854919076,1.0788543716486478,2.3305972111351423
34.219756,36.38475580926514,34.219756,1774896466.784756,3212.563086745406,2797.425486745406,33.48535076220477,-99.31578937196858,28.0,3.0,10.320825601071974,-30.086361598392042,122.86097638146973,4.049,7339.673305549705,2237.13242353155,True,-67.70853542779541,1.2152440953674315,16.70853542779541,7.0762204768371575,True,True,False,34.22467490392039,1156380794.0,1156385712.9039204,False,69633.63180921334,24.46,34.220439,1156380794.0,1156381477.0,False,-2.9312186,-0.35382968,4.921286,0.7960405,0.97695875,2.4264336,34.22062420820103,1156380794.0,1156381662.208201,False,-2.6416735830262144,0.23944463345803582,5.24217883695905,0.7460768845232537,1.0874664518098498,2.350841143835612
34.230773,36.39577280926514,34.230773,1774896466.7957728,3212.2447500897256,2797.1071500897256,33.48535021135477,-99.31578838043859,28.0,3.0,10.307393674671971,-30.106509487992046,122.81690838146972,4.049,7340.066713806105,2237.252334368101,True,-67.77463742779543,1.204227095367429,16.774637427795426,7.021135476837145,True,True,False,34.23481768885648,1156391811.0,1156395855.6888564,False,69627.96122501501,24.46,34.231184,1156391811.0,1156392222.0,False,-3.421551,0.25684085,5.0649734,0.9578027,1.1046658,2.490287,34.231371658991435,1156391811.0,1156392409.6589913,False,-3.215893366774089,0.7995278994899362,5.395929223957481,0.79363029594861,1.094542165689821,2.3643479438058947
34.240885,36.40588480926514,34.240885,1774896466.8058848,3211.9525634452457,2796.8149634452457,33.48534970575477,-99.31578747035859,28.0,3.0,10.295065124271972,-30.125002313592045,122.77646038146972,4.049,7340.427805236505,2237.362395036087,True,-67.83530942779542,1.1941150953674295,16.835309427795423,6.970575476837148,True,True,False,34.24429233210688,1156401923.0,1156405330.3321068,False,69623.8888837787,24.458888837786876,34.241903,1156401923.0,1156402941.0,False,-4.881772,0.8226091,7.624401,0.8620224,1.0025002,2.381736,34.241684744433876,1156401923.0,1156402722.7444339,False,-4.790604723425342,1.0803974645061905,7.900733392787874,0.8335961046032359,1.0874893583824927,2.380804333834444
