time_s,gnss_x,gnss_y,gnss_z
79.7,33.49720469635273,-99.33473081707409,2005.8262566941712
79.8,33.49722933632193,-99.33475454047019,2015.1199735060773
79.9,33.49717445939679,-99.33474857832972,2002.5401833769747
80.0,33.49714685161955,-99.3347737770573,1997.8673810552184
80.10000000000001,33.49718104742686,-99.33473649750854,2003.5737423182516
80.2,33.49716571501291,-99.33472378693197,1996.1141983381754
80.3,33.497225482757806,-99.33476255844883,2006.7898171852626
80.4,33.49718302212292,-99.334672720349,1985.9547368247702
80.5,33.49713863351699,-99.33471234623913,1994.9703267228215
80.60000000000001,33.49719864080797,-99.3346914106873,1997.8479896067197
80.7,33.49718245054526,-99.33473834358517,1981.7146371975102
80.8,33.49715361670106,-99.33467365599958,1980.6450519161742
80.9,33.49714268599594,-99.33467543288583,1972.3446730691742
81.0,33.49714014696997,-99.3346724334477,1981.0904597713143
81.10000000000001,33.49713919449184,-99.33463043073492,1980.3100857667528
81.2,33.49710786331703,-99.33471485412507,1963.7089575101782
81.3,33.4971620509455,-99.3346579518073,1965.9058816958266
81.4,33.497136349868974,-99.33464993992295,1964.0672048831432
81.5,33.49716602532928,-99.33466647937921,1959.5996131275328
81.60000000000001,33.497126628138794,-99.33455866999644,1966.7256742357815
81.7,33.4970966097223,-99.33462808315987,1947.1654745841208
81.8,33.49716860267939,-99.33459207204984,1957.4788016143045
81.9,33.49713672857466,-99.33456464586178,1950.3500820327063
82.0,33.49712369490939,-99.33461335517607,1953.7791639951208
82.10000000000001,33.4971450495823,-99.33458688518402,1945.345625863406
82.2,33.4971177412515,-99.33453801132923,1943.2025255943759
82.3,33.497145114464395,-99.33453608175115,1938.932203358325
82.4,33.49710812788859,-99.33460639793596,1933.6249216134393
82.5,33.49708286992699,-99.33455649580088,1927.6345141282243
82.60000000000001,33.49710477287444,-99.3345700149925,1929.9900986110433
82.7,33.49711293397286,-99.33448539294221,1924.1628346916807
82.8,33.49710541271992,-99.33457100097162,1928.932502883178
82.9,33.49709964977255,-99.33448123675534,1923.0162663174838
83.0,33.497072237398214,-99.33450731453647,1922.1335853222158
83.10000000000001,33.49715872074952,-99.33451793678027,1918.7681664435909
83.2,33.49708745233008,-99.33448933368945,1915.655250114204
83.3,33.497075399364135,-99.33445602820117,1913.1403287599219
83.4,33.49707442615058,-99.33450990484155,1896.542209023045
83.5,33.49708838237482,-99.33450482656309,1913.4001069918638
83.60000000000001,33.49707008958446,-99.33447694438021,1906.8117399127325
83.7,33.4971000457475,-99.33448052498777,1897.0734209956947
83.8,33.49701704779778,-99.33445044061197,1896.0629321333165
83.9,33.49708095103276,-99.33440058612268,1893.2915011056862
84.0,33.496989488549396,-99.33444096260732,1890.0977871678185
84.10000000000001,33.497025496166884,-99.33444431420241,1894.4559510221702
84.2,33.49707467556913,-99.33436802198412,1884.690274583726
84.3,33.49704133610662,-99.33437958671544,1887.0357237754235
84.4,33.497060967303746,-99.33438219333519,1879.9551330581342
84.5,33.497056491486475,-99.33436568732486,1872.5116706791791
84.60000000000001,33.49700302120649,-99.33441830358679,1875.288624336866
84.7,33.49706799888898,-99.33441932781903,1873.3842597534403
84.8,33.49706354323402,-99.33436150209096,1875.6027170084635
84.9,33.49703228667346,-99.33437019110792,1877.6938779528896
85.0,33.497029201013085,-99.33435084486688,1866.357784494092
85.10000000000001,33.49700774488814,-99.33434487308507,1863.1289735077871
85.2,33.497021053884446,-99.334302171284,1863.210387878751
85.3,33.49704922411183,-99.33433767596486,1858.7939031948051
85.4,33.49702357727793,-99.33431884358639,1860.6149174130487
85.5,33.49700236979953,-99.33433112591838,1856.6304814490336
85.60000000000001,33.49703235723405,-99.33425921657106,1848.8865047148304
85.7,33.496992305994254,-99.33428395952507,1843.4794119325254
85.8,33.4970227825399,-99.3343231153999,1850.1922568466618
85.9,33.496998219323665,-99.33430726231934,1841.071927280921
86.0,33.49700121557594,-99.33436193070956,1841.8187001533684
86.10000000000001,33.497004197014206,-99.33434018183553,1829.536867532103
86.2,33.49698323152763,-99.33426151953674,1831.219763280219
86.3,33.496960104295844,-99.3342503671913,1828.3821315801522
86.4,33.49699906252502,-99.33422959128886,1826.2428902800389
86.5,33.496921618304725,-99.33427656795267,1832.5674529838184
86.60000000000001,33.49697117148139,-99.33422277906988,1819.8300149874442
86.7,33.496966573040886,-99.33423556530106,1819.8522617521214
86.8,33.496963087377154,-99.3342195991898,1823.2861575923323
86.9,33.49700792182341,-99.33423346242068,1813.4958024619787
87.0,33.49696761950394,-99.33421324208895,1817.1304116690299
87.10000000000001,33.49695142943907,-99.33421232610077,1801.010264785038
87.2,33.49698325864789,-99.33425105554726,1799.6570134823307
87.3,33.49694482095975,-99.33417801688435,1809.724740931147
87.4,33.496913448165984,-99.33415292434391,1798.9729927750163
87.5,33.49689025386957,-99.33419035473436,1785.4481612757688
87.60000000000001,33.4969321589029,-99.33418717559982,1795.9958257378864
87.7,33.49694838864336,-99.3341451404202,1792.4493504723825
87.8,33.49694532794468,-99.33413692386961,1790.1475893635227
87.9,33.49690843315503,-99.33409663210918,1785.9532203848853
88.0,33.496914193669156,-99.33410911896658,1782.6559304075288
88.10000000000001,33.49694190449878,-99.33415028745844,1794.2218916277986
88.2,33.49691910798521,-99.33406947000938,1777.258395788867
88.3,33.49690820702058,-99.33413825850315,1775.4187245853416
88.4,33.496906239252894,-99.33406149000348,1770.9056426038119
88.5,33.49693412738059,-99.33409876310552,1766.5088739907026
88.60000000000001,33.49692308456194,-99.33410692174974,1769.3486942156912
88.7,33.49692065485431,-99.33402693004757,1759.8191221720513
88.8,33.49690986942287,-99.3340828199721,1766.2765566078838
88.9,33.496935447450184,-99.33411495657197,1762.1067091048446
89.0,33.49693344934561,-99.33404058481835,1755.0069691109925
89.10000000000001,33.49695052310574,-99.33407351641873,1754.0418378380177
89.2,33.49693053530443,-99.33400395920842,1751.1867634364485
89.3,33.49690464436108,-99.33406024190981,1743.7472961319975
89.4,33.49684898112751,-99.33407702612911,1740.1799255929816
89.5,33.496839020001026,-99.33398823526359,1745.745828482171
89.60000000000001,33.49691139710108,-99.33403342576632,1735.896947350598
89.7,33.496835715597655,-99.33401624066465,1730.1032648050475
89.8,33.496884423432874,-99.33395251751477,1727.5028582595855
89.9,33.496913839716335,-99.33400214472961,1731.2153703955667
90.0,33.49684812899061,-99.3340032641019,1723.227454140752
90.10000000000001,33.49687173358809,-99.33395132132313,1734.3968979308218
90.2,33.49682731944515,-99.33400101842997,1729.6371111955634
90.3,33.496871188326175,-99.3340026071976,1715.2872044217631
90.4,33.496923070753596,-99.33397802192216,1714.1461540728026
90.5,33.49687256752048,-99.33399835312898,1712.6683790017782
90.60000000000001,33.496854114515685,-99.33394330567124,1714.5727646902994
90.7,33.496810911977995,-99.33395293689439,1706.7341142280338
90.8,33.4968792762745,-99.33393226826603,1701.3185701249233
90.9,33.49687345148803,-99.33388320633581,1703.9134157091828
91.0,33.49685227522741,-99.33387109364922,1706.9127571430322
91.10000000000001,33.49683593850232,-99.33393633868732,1696.458425214489
91.2,33.49684845636957,-99.33384097006746,1697.3029462220914
91.3,33.49686570132524,-99.33391988292601,1692.0629958317427
91.4,33.49685753310119,-99.33391504171934,1701.6425168350304
91.5,33.49684394650438,-99.33388034711547,1684.6968026404138
91.60000000000001,33.49679559469684,-99.33385766646214,1683.700085831087
91.7,33.49680938597619,-99.3338071733438,1685.8311984721165
91.8,33.4968567641791,-99.33381857862769,1677.5981410615937
91.9,33.496776197584786,-99.33387413007478,1685.3492139000653
92.0,33.49677924658601,-99.33383773408289,1673.5376876827454
92.10000000000001,33.49681057001835,-99.33382763724673,1669.240230190623
92.2,33.4968270290396,-99.33384144036987,1680.2453222060196
92.3,33.496771825768626,-99.33382895429607,1669.6420769297197
92.4,33.4968037004431,-99.33379994328928,1674.498247276904
92.5,33.4967931635572,-99.33380249454851,1657.6029533043259
92.60000000000001,33.49679615207816,-99.33381107559099,1657.4234737246309
92.7,33.49678226557003,-99.33380309867152,1653.4505246748872
92.8,33.4967151146532,-99.33373209054423,1654.1552303986982
92.9,33.49680100277606,-99.33368874006497,1649.7562996498327
93.0,33.4968115100628,-99.3337261359588,1647.4460077549322
93.10000000000001,33.49676470248675,-99.33373645409051,1654.0414394074223
93.2,33.496801264631294,-99.33375363582196,1645.8314744450552
93.3,33.49673198445009,-99.3337287597919,1633.0659137375542
93.4,33.496769702987045,-99.3336918423082,1641.713723303874
93.5,33.49676631795329,-99.33376044859119,1632.2864402883506
93.60000000000001,33.496732858266775,-99.33367333997988,1628.052120592492
93.7,33.496761433013646,-99.33365980695757,1629.6024776861343
93.8,33.49679029639662,-99.33374304021756,1627.4754188478303
93.9,33.4967160651747,-99.3336630093863,1624.7110465683597
94.0,33.49671984205488,-99.33377939473239,1614.314182003591
94.10000000000001,33.49675012136369,-99.33367055416434,1624.2065112141295
94.2,33.496764343103045,-99.33369383754508,1616.276995863023
94.3,33.49672703648588,-99.3336723936967,1615.8728265134328
94.4,33.49679896502863,-99.33364332583969,1616.86146342836
94.5,33.49665233435952,-99.33366843562116,1606.193724012712
94.60000000000001,33.496746285174986,-99.33363084230338,1617.8079802809418
94.7,33.49677325652369,-99.33362021075416,1600.6122931986658
94.8,33.49676412140258,-99.33361334089271,1607.3914853789836
94.9,33.496716408987524,-99.33368599351574,1609.958837206969
95.0,33.49670463519338,-99.33359902571364,1595.0821587435803
95.10000000000001,33.49673686672104,-99.33361468402762,1600.3137268451878
95.2,33.496665459029835,-99.3336324987487,1590.1568043881605
95.3,33.49671692101551,-99.33360402506813,1591.2098143128621
95.4,33.496705657761446,-99.33357630304872,1583.4268452916872
95.5,33.49674914679309,-99.33357594572749,1588.075781602546
95.60000000000001,33.496674723928095,-99.33355217091888,1580.6951358260055
95.7,33.49670102573833,-99.33362488489978,1589.403978097074
95.8,33.496708169165835,-99.3335180899808,1581.813586744956
95.9,33.49666570474918,-99.3335437231657,1568.237913179238
96.0,33.49669217016496,-99.33352826863353,1570.371423103151
96.10000000000001,33.4967048123146,-99.33354156907906,1570.5822545060055
96.2,33.496662614314246,-99.33354522073004,1558.376924330086
96.3,33.49668384289064,-99.33350503956585,1564.2979305053573
96.4,33.4967357576048,-99.33347200405612,1558.2330333196583
96.5,33.496663228494015,-99.33349490219919,1562.6867104714427
96.60000000000001,33.49667707710764,-99.33349333075999,1550.5808263371557
96.7,33.496670108481545,-99.33353615437252,1546.7180129698397
96.8,33.49669642075519,-99.33346344298619,1544.1850756234207
96.9,33.49663648502285,-99.33345843910226,1539.243866258134
97.0,33.49665034900958,-99.33345153075217,1549.7154477390316
97.10000000000001,33.49666033609079,-99.33346397987665,1534.484234791661
97.2,33.49665107934655,-99.33352284565929,1539.5183989310522
97.3,33.49668709672883,-99.33348130216643,1533.9885490597137
97.4,33.49666943138574,-99.33342046214558,1527.26205542408
97.5,33.49665637246713,-99.3333933786126,1531.3807728233546
97.60000000000001,33.49662688980517,-99.33345252895975,1517.8703110367178
97.7,33.49664282197879,-99.33342855072084,1523.2748808203867
97.8,33.496618172021606,-99.33338872632777,1526.5820282985112
97.9,33.49667441487348,-99.33345021685294,1520.056213406442
98.0,33.496627550204984,-99.3334108376631,1524.1625055909608
98.10000000000001,33.49661978828971,-99.33336567196928,1510.082127642546
98.2,33.496587932319116,-99.3333819116105,1500.9155822681828
98.3,33.49661630349798,-99.33344943707448,1513.225252371368
98.4,33.49661199604915,-99.33330577129828,1507.666983531878
98.5,33.496600781871756,-99.33329456824809,1494.6633377261926
98.60000000000001,33.496585179501004,-99.333392158425,1496.2994050057991
98.7,33.496621263619694,-99.33334803213641,1502.7402708156585
98.8,33.49664322364239,-99.33337945995778,1491.1046252004433
98.9,33.49663254872902,-99.3333535690981,1488.2226643852407
99.0,33.49659978769503,-99.33328089869804,1486.193000159049
99.10000000000001,33.496576044877315,-99.33331363324672,1491.4409825268156
99.2,33.49659820389322,-99.33336045627678,1497.4829411694725
99.3,33.49658065070684,-99.33333387665968,1491.8482730456872
99.4,33.49657052708534,-99.33324926969125,1491.1774670479633
99.5,33.496606822186,-99.33327846247136,1473.9947242146172
99.60000000000001,33.496582169847855,-99.33331487861389,1479.8080791973464
99.7,33.49653921248077,-99.33329341746057,1466.8458643538625
99.8,33.496566584246295,-99.33328079928111,1464.7571509912163
99.9,33.496550157864775,-99.33327774639938,1461.713600531164
100.0,33.496569068663064,-99.33332324958909,1463.8075874838055
100.10000000000001,33.49649341789458,-99.33327053567939,1461.287399446997
100.2,33.49654551505084,-99.33323451545398,1456.3850671656332
100.3,33.496525643785105,-99.3332299187252,1462.0551054366297
100.4,33.496549481011144,-99.3331990930097,1457.6763390359529
100.5,33.49658557417983,-99.33318152485921,1442.619095418872
100.60000000000001,33.49654430662432,-99.33324363746507,1440.310099698364
